seed,scenario,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
9,lossless,9,10,0.4702,0.4998,0.0,0.3702,0.6298,1,0.0,0.0
9,lossless,10,15,0.4771,0.4921,0.0,0.3771,0.6229,1,0.0,0.0
9,lossless,11,12,0.4391,0.524,0.0502,0.3391,0.6609,1,0.0,0.0
9,lossless,12,13,0.4606,0.5084,0.0292,0.3606,0.6394,1,0.0,0.0
9,lossless,13,14,0.4715,0.4986,0.0,0.3715,0.6285,1,0.0,0.0
9,lossless,14,15,0.4752,0.4818,0.0363,0.3752,0.6248,1,0.0,0.0
9,lossless,15,20,0.4728,0.4558,0.0,0.3728,0.6272,1,0.0,0.0
9,lossless,16,17,0.4935,0.4936,0.0414,0.3935,0.6065,1,0.0,0.0
9,lossless,17,18,0.4709,0.4931,0.0,0.3709,0.6291,1,0.0,0.0
9,lossless,18,19,0.4676,0.5204,0.0255,0.3676,0.6324,1,0.0,0.0
9,lossless,19,20,0.4731,0.5025,0.0,0.3731,0.6269,1,0.0,0.0
9,lossless,20,24,0.5157,0.327,0.0294,0.4157,0.5843,1,0.0,0.0
9,lossless,21,22,0.4815,0.5118,0.0,0.3815,0.6185,1,0.0,0.0
9,lossless,22,23,0.4667,0.5207,0.0,0.3667,0.6333,1,0.0,0.0
9,lossless,23,24,0.475,0.4783,0.0364,0.375,0.625,1,0.0,0.0
9,lossless,24,25,0.488,0.5013,0.0,0.388,0.612,1,0.0,0.0
9,lossless,25,20,0.5916,0.4835,0.006,0.3916,0.6084,2,0.0,0.0
10,lossless,2,1,0.4362,0.5137,0.0,0.3362,0.6638,1,0.0,0.0
10,lossless,3,4,0.4623,0.5304,0.0371,0.3623,0.6377,1,0.0,0.0
10,lossless,4,5,0.5121,0.4742,0.0,0.4121,0.5879,1,0.0,0.0
10,lossless,5,10,0.4721,0.5417,0.0338,0.3721,0.6279,1,0.0,0.0
10,lossless,6,1,0.4096,0.5075,0.0,0.3096,0.6904,1,0.0,0.0
10,lossless,7,8,0.4786,0.5005,0.06,0.3786,0.6214,1,0.0,0.0
10,lossless,8,9,0.4858,0.5077,0.001,0.3858,0.6142,1,0.0,0.0
10,lossless,9,10,0.4658,0.4995,0.0289,0.3658,0.6342,1,0.0,0.0
10,lossless,10,15,0.4726,0.4674,0.0,0.3726,0.6274,1,0.0,0.0
10,lossless,11,12,0.4915,0.4725,0.0,0.3915,0.6085,1,0.0,0.0
10,lossless,12,13,0.4907,0.479,0.0206,0.3907,0.6093,1,0.0,0.0
10,lossless,13,14,0.4681,0.4906,0.0363,0.3681,0.6319,1,0.0,0.0
10,lossless,14,15,0.4933,0.4674,0.0085,0.3933,0.6067,1,0.0,0.0
10,lossless,15,20,0.4557,0.4953,0.0354,0.3557,0.6443,1,0.0,0.0
10,lossless,16,17,0.4938,0.4664,0.0,0.3938,0.6062,1,0.0,0.0
10,lossless,17,18,0.4655,0.5079,0.0109,0.3655,0.6345,1,0.0,0.0
10,lossless,18,19,0.4814,0.5372,0.0004,0.3814,0.6186,1,0.0,0.0
10,lossless,19,20,0.474,0.5293,0.0,0.374,0.626,1,0.0,0.0
10,lossless,20,25,0.4596,0.5406,0.0226,0.3596,0.6404,1,0.0,0.0
