scenario,seed,timestamp,node_id,parent,rank,trust,energy,qos_latency,mcs,hop_count,convergence_time,packet_loss_rate
mixed_attack_energy,0,41.0,26,27,0.5314,0.4789,0.0764,0.4314,0.5686,1,0.0,0.0789
mixed_attack_energy,0,41.0,27,28,0.537,0.4618,0.0432,0.437,0.563,1,0.0,0.0789
mixed_attack_energy,0,41.0,28,29,0.5543,0.4839,0.0798,0.4543,0.5457,1,0.0,0.0789
mixed_attack_energy,0,41.0,29,30,0.5543,0.5062,0.0652,0.4543,0.5457,1,0.0,0.0789
mixed_attack_energy,0,41.0,30,36,0.5435,0.5203,0.0838,0.4435,0.5565,1,0.0,0.0789
mixed_attack_energy,0,41.0,31,32,0.529,0.4928,0.0809,0.429,0.571,1,0.0,0.0789
mixed_attack_energy,0,41.0,32,33,0.5367,0.4918,0.0573,0.4367,0.5633,1,0.0,0.0789
mixed_attack_energy,0,41.0,33,34,0.5482,0.4416,0.0433,0.4482,0.5518,1,0.0,0.0789
mixed_attack_energy,0,41.0,34,28,0.6277,0.4077,0.0745,0.4277,0.5723,2,0.0,0.0789
mixed_attack_energy,0,41.0,35,36,0.5486,0.5,0.0345,0.4486,0.5514,1,0.0,0.0789
mixed_attack_energy,0,41.0,36,30,0.6388,0.5015,0.069,0.4388,0.5612,2,0.0,0.0789
mixed_attack_energy,0,51.0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0.0
mixed_attack_energy,0,51.0,2,1,0.464,0.536,0.0,0.364,0.636,1,0.0,0.0796
mixed_attack_energy,0,51.0,3,4,0.5346,0.2927,0.0,0.4346,0.5654,1,0.0,0.0796
mixed_attack_energy,0,51.0,4,5,0.5318,0.4398,0.0,0.4318,0.5682,1,0.0,0.0796
mixed_attack_energy,0,51.0,5,6,0.5655,0.4749,0.0,0.4655,0.5345,1,0.0,0.0796
mixed_attack_energy,0,51.0,6,12,0.5467,0.3091,0.0,0.4467,0.5533,1,0.0,0.0796
mixed_attack_energy,0,51.0,7,1,0.5178,0.5048,0.0,0.4178,0.5822,1,0.0,0.0796
mixed_attack_energy,0,51.0,8,1,0.5899,0.2652,0.0,0.4899,0.5101,1,0.0,0.0796
mixed_attack_energy,0,51.0,9,10,0.5295,0.5413,0.0,0.4295,0.5705,1,0.0,0.0796
mixed_attack_energy,0,51.0,10,11,0.5291,0.4099,0.0,0.4291,0.5709,1,0.0,0.0796
mixed_attack_energy,0,51.0,11,17,0.5288,0.4957,0.0,0.4288,0.5712,1,0.0,0.0796
mixed_attack_energy,0,51.0,12,18,0.5454,0.4821,0.0,0.4454,0.5546,1,0.0,0.0796
mixed_attack_energy,0,51.0,13,14,0.54,0.4934,0.0,0.44,0.56,1,0.0,0.0796
mixed_attack_energy,0,51.0,14,15,0.5141,0.4661,0.0,0.4141,0.5859,1,0.0,0.0796
mixed_attack_energy,0,51.0,15,16,0.5373,0.4061,0.0,0.4373,0.5627,1,0.0,0.0796
mixed_attack_energy,0,51.0,16,17,0.5295,0.5094,0.0,0.4295,0.5705,1,0.0,0.0796
mixed_attack_energy,0,51.0,17,18,0.5498,0.4447,0.0,0.4498,0.5502,1,0.0,0.0796
mixed_attack_energy,0,51.0,18,24,0.5334,0.4099,0.0,0.4334,0.5666,1,0.0,0.0796
mixed_attack_energy,0,51.0,19,20,0.5438,0.4616,0.0,0.4438,0.5562,1,0.0,0.0796
mixed_attack_energy,0,51.0,20,21,0.5274,0.4681,0.0,0.4274,0.5726,1,0.0,0.0796
mixed_attack_energy,0,51.0,21,27,0.5196,0.4866,0.0,0.4196,0.5804,1,0.0,0.0796
mixed_attack_energy,0,51.0,22,23,0.5599,0.5279,0.0,0.4599,0.5401,1,0.0,0.0796
mixed_attack_energy,0,51.0,23,24,0.5346,0.4997,0.0,0.4346,0.5654,1,0.0,0.0796
